Original File name;Location;Suppliers Reference;Title;Description;Year;Creator;Keywords;caption;image_id;IMAGE LINK
5544.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/001/001/15;Assault on Pinlebu;"Assault on Pinlebu
British and Indian soldiers in the Second Mountain Battery of the Royal Artillery pose with artillery guns as they re-enact their assault on Pinlebu. The company was involved in a campaign to suppress Burmese rebels in Wuntho State (today known as the Sagaing Division). Sagaing, Burma (Myanmar), 1891.
Caption reads: 'Centre Section 2nd Mountain Battery R.A. under Comd of Left. Marshall, firing on Penlibu. No. 414'";c.1891;;Burma;Assault on Pinlebu;121158;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/f35043cf153dd55bf9e5b0b255de0185
5557.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/001/001/29;Stone 'zeidis' at Wuntho;"Stone 'zeidis' at Wuntho
Several carved stone 'zeidis' or pagodas are guarded by stone 'chinthes' (mythical Burmese lions) at Wuntho. This scene was captured shortly after British forces took control of Wuntho following a conflict with Burmese rebels. Wuntho, Burma (Myanmar), 1891.
Caption reads: 'Pagodas at Wuntho. No.420'";c.1891;;Burma;Stone 'zeidis' at Wuntho;115298;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/db9749735c548915fbaaf954f43530f2
5547.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/001/001/19;General Wolseley at Kyaing-Kwintaung;"General Wolseley at Kyaing-Kwintaung
General George Wolseley and other senior British Army officers pose for the camera inside the captured Kyaing-Kwintaung stockade. The stronghold was seized from the Saopha of Wuntho and his rebel supporters, who opposed British attempts to annex areas of Burma (Myanmar). Sagaing, Burma (Myanmar), 1891.
Caption reads: 'Genl. Wolseley & Staff in the Kyaing-Kwintaung Stockade. No. 436'";c.1891;;Burma;General Wolseley at Kyaing-Kwintaung;119404;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/ffe11e0e1567ef35c8f01096972ea6d5
5533.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/001/001/1;Group photograph including the Saopha of Wuntha's wife;"The Saopha of Wuntha's wife
Outdoors portrait of the Saopha of Wuntho's wife and young son, surrounded by female attendants. The group kneel on a mat laden with lacquerware tiffin boxes in the shade of two large parasols. Saopha Maung Aung Myat had taken over leadership of Wuntho in 1881, although the state remained outside British administration until it was formally annexed in 1892. Sagaing, Burma (Myanmar), circa 1891.
Caption reads: 'Sawbwa's of Wuntho's Wife & Family. No. 400'";c.1891;;Burma;Group photograph including the Saopha of Wuntha's wife;114574;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/29e90310e10684141ec3c9b59d3a4041
5563.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/001/001/35;View of Wuntho, Burma;"View of Wuntho, Burma (Myanmar)
View of Wuntho showing the town's palace (left) and several carved stone 'zeidis' or pagodas. British Army soldiers stand near their tents in the foreground, pictured shortly after British forces captured Wuntho following a conflict with Burmese rebels. Wuntho, Burma (Myanmar), 1891.
Caption reads: 'Genl. View at Wuntho. No.427'";c.1891;;Burma;View of Wuntho, Burma;114093;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/6adfc1c59dfa701b9e1ea83506090dd5
5568.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/001/001/40;Street scene in Wuntho;"Street scene in Wuntho
A group of Wuntho townspeople mill about outside a shrine containing carved stone 'zeidis' or pagodas. This scene was captured shortly after British forces took control of Wuntho following a conflict with Burmese rebels. Wuntho, Burma (Myanmar), 1891.
Caption reads: 'A Street in Wuntho. No.440'";c.1891;;Burma;Street scene in Wuntho;115269;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/ee3fda89dcc04ff6759693661aa601bf
5573.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/001/001/45;Stockade built by Lieutenant Chapman;"Stockade built by Lieutenant Chapman
British and Indian soldiers pause for the camera during the construction of a stockade overseen by Lieutenant R.E. Chapman. Possibly a mix of British Army and Military Police officers, the men were involved in a campaign to suppress Burmese rebels in Wuntho State (Sagaing Division). Youngma, Burma (Myanmar), 1891.
Caption reads: 'Stockade built by Left. Chapman, R.E. at Youngma. No. 452'";c.1891;;Burma;Stockade built by Lieutenant Chapman;115303;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/5075a8f069839a04599f75e3f2d49976
6803.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/132;Welcome arch for the Duke of Connaught, Hong Kong;"A decorative welcome arch spans a city street in honour of the Duke of Connaught, who visited Hong Kong shortly before a devastating typhoon struck the city on 18 September. 

Original manuscript caption: Note! Small tableaux suspended from centre of arch over roadway depicting historical Chinese scene.";1906;;"Hong Kong
China";Welcome arch for the Duke of Connaught, Hong Kong;113969;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/1c9d07bf46c3f3dc4289544c53a84204
6832.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/244;Vegetable stall at an outdoor market in Seoul;"A street trader wearing a 'gat' (a traditional Korean hat), crouches down to arrange the vegetables on his stall at a busy outdoor market. Other traders and customers mill about in the background. 

Original manuscript caption: Seoul, Korea.";c.1920;;South Korea;Vegetable stall at an outdoor market in Seoul;114170;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/7f6406022f72aced121811cc47a5431e
6760.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/29;Two Chinese men carry a pig;"Two Chinese men carry a pig in a wicker cage suspended from a pole, Hong Kong.

Original manuscript caption: Usual method of carrying a pig";c.1905;;"Hong Kong
China";Two Chinese men carry a pig;114178;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/c5d50dab0796cd2347a7f2b4405f21de
6841.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/266;Traditional Japanese dress;"A person (probably male) dressed in traditional Japanese costume, walks away from the camera. He wears a striped kimono tied with an 'obi' (wide belt), and a large, wide-brimmed hat decorated with a plume of feathers. 

Original manuscript caption: Moji - Japan Strange head-dress.";c.1920;;Japan;Traditional Japanese dress;114347;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/ea58f109b00c459fddbd3eb775abe8c4
6836.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/253;The Gyeonghoeru Pavilion at Gyeongbok Palace;"The Gyeonghoeru Pavilion at Gyeongbok Palace, situated on an island at the centre of a lotus pond. The building features a curved roof, which rests on 48 granite pillars. 

Original manuscript caption: Korea - Imperial Palace at Seoul - Lotus beds solid granite pillars.  Decorated ceiling.";c.1920;;South Korea;The Gyeonghoeru Pavilion at Gyeongbok Palace;114812;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/efcdba42476c9526a8e87b101980fb30
6770.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/47;Statues of deities inside a Chinese Joss house;"The statues of two Chinese deities ('Joss'), possibly idols of the Jade Emperor, sit side-by-side at the altar of a Joss house, Hong Kong. 

Original manuscript caption: Inside a Joss House - Two Joss";c.1905;;"Hong Kong
China";Statues of deities inside a Chinese Joss house;115330;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/83bf268e16299377134f283d9d4859b1
6816.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/158;Statue of a Chinese warrior at the Ming Dynasty tombs;"One of several ancient stone statues, depicting Chinese warriors in battle dress, that guide the way to the Ming Dynasty tombs. The site contains the mausoleums of 13 Emperors of the Chinese Ming Dynasty (1368-1644). Near Peking, (Beijing).

Original manuscript caption: Priest or Statesman";[1909];;China;Statue of a Chinese warrior at the Ming Dynasty tombs;115337;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/d219686f316967fa536371d29417c443
6806.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/136;Queen's Road Central, Hong Kong;"View along Queen's Road Central, looking east. Multi-storey colonial buildings line the street, which is dotted with pedestrians and rickshaws. An original caption points out the base of the Pedder Street clock tower on the left, a structure that was demolished in 1908. 

Original manuscript caption: Queen's Road Central looking East
On the lefthand side is base of Blake Clock Tower, then basement of Hong Kong Hotel. Pathways are not seen, as they are under archways and so covered in. Note Sikh Policeman down road in centre, also typical rickshas [sic] for hire & typical coolie with broad-brimmed cane hat on right. Our offices opposite Clock Tower on right, not shown in picture. This street is the principle street in Hong Kong, but it is not a busy time of day. Distant view of one part of peak.";c.1910;;"Hong Kong
China";Queen's Road Central, Hong Kong;116132;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/dcf45385ebdd392a11eb5c6d6c660724
6787.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/97;Peak Hospital in Hong Kong;"Exterior view of the south side of Peak Hospital, Hong Kong,  a two-storey, stuccoed building with a curved façade on its left wing. 

Original manuscript caption: Peak Hospital. South front";c.1905;;"Hong Kong
China";Peak Hospital in Hong Kong;116582;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/784dfefdd9c2a01c21fc15dff5fada4b
5907.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/27;Mendicants beg by the roadside, China;"A number of mendicants, some of whom are suffering from leprosy, beg at the roadside with their woven bowls. Both men and women wear wide-brimmed conical hats. 

Original manuscript caption: Beggars and Lepers. Shikwan";c.1905;;China;Mendicants beg by the roadside, China;117573;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/9d0e464ef185137de1d545af662b6027
5911.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/33;Letter-writing service on a Hong Kong street;"A street trader offering a letter-writing service sits beneath a parasol at his makeshift stall. 

Original manuscript caption: A street Letter writer";c.1903;;"Hong Kong
China";Letter-writing service on a Hong Kong street;118509;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/3e0c09057cb3816e53d714a6056118bd
6830.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/236;Korean labourers transporting firewood;"Two Korean labourers carry large bundles of firewood, strapped to their backs on triangular wooden frames. 

Original manuscript caption: Seoul, Korea.  Coolie carrying wood.";c.1920;;South Korea;Korean labourers transporting firewood;118605;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/e1e39ef8c5984e561ca16aed84d9eeeb
6745.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/8;Head office of the Hong Kong and Shanghai Bank;"The second head office of the Hong Kong and Shanghai Banking Corporation Ltd., built in 1886 with a portico and octagonal dome. 

Original manuscript caption: Hong Kong & Shanghai Bank, Head Office Hong Kong.
The premier commercial house in China";c.1903;;"Hong Kong
China";Head office of the Hong Kong and Shanghai Bank;119203;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/3f9db49f15b0f2ea5d9e6f7f037910f2
6743.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/5;Gateway to Kowloon Harbour;"A gateway, decorated with a pagoda-style roof, leads to Kowloon Harbour. Half-torn posters covered with Chinese script remain pasted to its façade. 

Original manuscript caption: Gateway at water edge Kowloon Old City Hong Kong";c.1903;;"Hong Kong
China";Gateway to Kowloon Harbour;119425;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/a2c57bb3e254d0ba8325f27ae2948101
6764.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/39;Ear cleaning at a barber's shop, China;"A man with a distinctive Manchu hairstyle sits on a stool to have his ears cleaned at a barber's shop. Several false 'queues' (waist-long pigtails), hang on the wall behind him; an equivalent to modern-day hair extensions. 

Original manuscript caption: Ear cleaning in Barber's Shop
Note false queues on wall. How up-to-date China is: even practice of wearing false hair has reached us from Europe?";c.1905;;China;Ear cleaning at a barber's shop, China;119879;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/b559ac0cb9e821b38fe171b52fe15a27
6765.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/36;Ear cleaning at a barber's shop, China;"A man sits on a stool to have his ears cleaned at a barber's shop. An elderly man with a long, plaited 'queue' (waist-long pigtail) sits nearby, waiting his turn. 

Original manuscript caption: Ear-cleaning a regular operation like shaving.";c.1905;;China;Ear cleaning at a barber's shop, China;119880;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/458ecbf42e4d8abaa32a3211305a5332
5915.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/42;An altar inside a Hong Kong Joss house;"An altar inside a Joss house is adorned with religious ornaments including figurines, vases, flowers and texts. 

Original manuscript caption: Interior of Joss House.";c.1903;;"Hong Kong
China";An altar inside a Hong Kong Joss house;121409;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/3a42f243a11f4f02f868530dabee126a
6831.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/239;A Korean peddler boy;"A Korean peddler boy carries his wares, probably crockery of some kind, on a wooden frame strapped to his back. 

Original manuscript caption: Seoul, Korea - Boy coolie - peddlar";c.1920;;South Korea;A Korean peddler boy;121931;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/a897ab79e7929914f429eacbd4f3f55c
6776.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/58;Chinese burial urns;"A number of burial urns, containing exhumed human bones, are grouped together on a hillside. Living relatives considered their fortunes to be directly linked to the positioning of the urns, and favoured locations with a positive 'feng shui' (natural harmony). Probably Hong Kong.

Original manuscript caption: Potted Ancestors - an old Cemetery";c.1905;;"Hong Kong
China";Chinese burial urns;120415;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/96da44587d0fe5a98dd404c7a2df18f0
6788.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/1/104;Two doctors with a sedan chair;"Two British doctors, Dr Rennie (left) and Dr Marriott (right), stand beside a sedan chair carried by Chinese servants, Hong Kong. 

Original manuscript caption: Dr. Rennie, Self - Chair and Coolies";1904;;"Hong Kong
China";Two doctors with a sedan chair;114255;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/5d2e3fa290200cb98085bf8238eec2fd
6737.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/2/4;'Monk's Head Rock' across the Xijiang River;"View across the Xijiang River, featuring an unusual rock formation identified as 'Monk's Head Rock.' South China, near Hong Kong.

Original manuscript caption: China - West River - Monk's Head Rock";c. 1905;;"Hong Kong
China";'Monk's Head Rock' across the Xijiang River;117452;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/ce7f4f8be365470aa1d4f2f86814647b
6763.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/2/66;An elderly Cantonese man holds his great-grandson;"Portrait of an elderly Cantonese man, holding his great grandson in the crook of one arm.

Original manuscript caption: Canton - His great grandson!";c. 1905;;"Hong Kong
China";An elderly Cantonese man holds his great-grandson;121382;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/36cc9c441ef426abb91fe7ade4b3fa5e
6762.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/1/2/67;Chinese gambling game of 'fantan';"Eight men with distinctive Manchu hairstyles gather around a table to play the traditional Chinese gambling game of 'fantan'.

Original manuscript caption: Hong Kong - Fan Tan players";c. 1905;;"Hong Kong
China";Chinese gambling game of 'fantan';120409;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/69fbfd71d004883fdaedcd53537e66f4
7316.tif;British Empire and Commonwealth Collections at Bristol Archives;1998/028/2/4;Public Gardens, Hong Kong;"A promenade lined with benches, potted plants and tall trees stretches into the distance at the Hong Kong Zoological and Botanical Gardens. 

Original manuscript caption: ""No. 6 Hong Kong    1903    Pathway in public gardens.  Above Governor's winter residence.  Gardens well kept, though not spacious.  Commanding view of harbour through trees.  Remember Hong Kong is not all like this"".";1903;;"Hong Kong
China";Public Gardens, Hong Kong;119118;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/704fcead51da10169dfa428989f60970
BEC 2005-078-1-3[v2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/3;Somali police recruits;"Line of troops being inspected by Captain Robertson-Eustace, Assistant District Superintendent of Police.

Original manuscript caption: Somali recruits";c. 1910;;"Somalia
Jubaland";Somali police recruits;204475;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/22de9b93a9542f1f4ea47199a33aa754
BEC 2005-078-1-2[v2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/2;Capt. Robertson-Eustace A.D.S.P.;"Full length profile portrait of the Captain with trees behind

Original manuscript caption: Capt. Robertson-Eustace A.D.S.P. [Assistant District Superintendent of Police]";c. 1910;;"Somalia
Jubaland";Capt. Robertson-Eustace A.D.S.P.;204474;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/d7527df7befec8a132b4ce8f9aed2d6b
BEC 2005-078-1-8[v2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/8;Mr Hope, Acting Commissioner, Jubaland;"Portrait of man standing on verandah of a house

Original manuscript caption: Mr Hope, Acting Commissioner, Jubaland";c. 1910;;"Somalia
Jubaland";Mr Hope, Acting Commissioner, Jubaland;204480;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/c9c9edbb698229390353b575cc25ee54
BEC 2005-078-1-12[V2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/12;Kismayu doctor;"Front view of man standing on steps

Original manuscript caption: Kismayu doctor";c. 1910;;"Somalia
Jubaland";Kismayu doctor;204484;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/0e56df9b22ab6d406d7e75bebe516f65
BEC 2005-078-1-14[V2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/14;View of Nairobi;"Distant view of town with trees in foreground

Original manuscript caption: View of Nairobi";c. 1910;;Kenya;View of Nairobi;204486;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/3588e3774c595f05eb9db6f529ecb3c9
BEC 2005-078-1-16[V2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/16;Mombasa Police;"Rear view of line of police troops

Original manuscript caption: Mombasa Police";c. 1910;;Kenya;Mombasa Police;204488;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/d206fe9fb665917fd5c19d60e7f0eb6e
BEC 2005-078-1-22[V2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/22;Jail, Kismayu;"View of building with figures in foreground

Original manuscript caption: Jail Kismayu";c. 1910;;"Somalia
Jubaland";Jail, Kismayu;204494;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/fa9fcaf3c7443ca626a2dd86795e0bb2
BEC 2005-078-1-23[V2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/23;Kismayu;"View from above of buildings and trees

Original manuscript caption: Kismayu";c. 1910;;"Somalia
Jubaland";Kismayu;204495;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/a491234b3c5a8bddf26366145ae5e1cd
BEC 2005-078-1-25[V2].tif;British Empire and Commonwealth Collections at Bristol Archives;2005/078/1/25;Kismayu Group;"Eleven men in pith helmets posed for a group photograph

Original manuscript caption: Kismayu Group";c. 1910;;"Somalia
Jubaland";Kismayu Group;204497;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/62d295648931470fd000064b498a337c
